experiment;integrated_area;NiSO4 (mol/L);Na2Mo (mol/L);H2SO4 (mol/L);Dep t (s);Dep I (mA/cm²);Dep T (C)
1;0.9642892859541932;0.124;0.274;0.04;156.0;36.0;33.5
2;0.7677396511121186;0.086;0.345;0.015;597.0;162.0;56.4
3;0.8254000612663316;0.29;0.051;0.03;388.0;62.0;59.2
4;0.9319364447515158;0.236;0.158;0.0;94.0;182.0;55.1
5;0.9182117292933328;0.146;0.23;0.055;534.0;8.0;64.4
6;0.9130221688361843;0.124;0.187;0.015;296.0;165.0;51.0
7;0.9049535481131239;0.05;0.159;0.085;438.0;177.0;47.7
8;0.8845108246007869;0.08;0.244;0.015;251.0;77.0;58.5
9;0.7412775090156692;0.199;0.065;0.0;212.0;159.0;62.1
10;0.2957554292709965;0.018;0.045;0.08;591.0;70.0;63.8
11;0.9489388196585476;0.083;0.28;0.05;456.0;3.0;59.4
12;0.9369604907864753;0.05;0.304;0.085;525.0;140.0;40.2
13;0.3222135572299899;0.002;0.002;0.05;523.0;188.0;69.1
14;0.934970555431154;0.002;0.002;0.05;536.0;199.0;32.2
15;0.9109478267052362;0.18;0.234;0.0;308.0;125.0;52.4
16;0.9677498876189872;0.066;0.321;0.05;165.0;81.0;56.0
17;0.9618750376754988;0.17;0.191;0.05;393.0;90.0;35.2
18;0.9502424619788413;0.113;0.239;0.05;358.0;67.0;48.3
19;1.0;0.002;0.002;0.05;76.0;10.0;70.0
20;0.6339176136165733;0.168;0.019;0.0;523.0;192.0;70.0
21;0.9491837607208317;0.021;0.166;0.05;507.0;93.0;47.6
22;0.9579803899954333;0.143;0.218;0.0;492.0;33.0;46.7
23;0.9626374390431144;0.17;0.191;0.05;393.0;90.0;35.1
24;0.9255530838076428;0.127;0.183;0.0;308.0;140.0;48.7
25;0.35603072440939104;0.015;0.126;0.0;525.0;157.0;66.9
26;0.8951208385004574;0.175;0.19;0.05;255.0;113.0;55.6
27;0.38871797070216285;0.002;0.002;0.05;600.0;152.0;64.9
29;0.940195052941297;0.077;0.334;0.0;133.0;13.0;64.7
30;0.5299924420565864;0.224;0.024;0.05;388.0;104.0;63.7
31;0.9173535995918879;0.158;0.113;0.0;278.0;137.0;45.4
32;0.3328052436240226;0.045;0.058;0.05;480.0;145.0;67.7
33;0.8977734910117766;0.059;0.055;0.0;445.0;181.0;49.4
34;0.4103011405369021;0.058;0.008;0.05;493.0;160.0;66.4
35;0.7868753706827534;0.002;0.002;0.05;600.0;94.0;69.6
36;0.8860514264564309;0.014;0.118;0.05;157.0;188.0;66.4
