experiment;integrated_area;NiSO4 (mol/L);Na2Mo (mol/L);H2SO4 (mol/L);Dep t (s);Dep I (mA/cm²);Dep T (C);ML_optimization;qUpperConfidence_beta
1;28467.450758417504;0.124;0.274;0.04;156.0;36.0;33.5;random;
2;22664.973086050737;0.086;0.345;0.015;597.0;162.0;56.4;random;
3;24367.205922902132;0.29;0.051;0.03;388.0;62.0;59.2;random;
4;27512.34016323884;0.236;0.158;0.0;94.0;182.0;55.1;random;
5;27107.163348386544;0.146;0.23;0.055;534.0;8.0;64.4;random;
6;26953.958745863638;0.124;0.187;0.015;296.0;165.0;51.0;random;
7;26715.759414534576;0.05;0.159;0.085;438.0;177.0;47.7;random;
8;26112.255638819035;0.08;0.244;0.015;251.0;77.0;58.5;random;
9;21883.765892249452;0.199;0.065;0.0;212.0;159.0;62.1;random;
10;8731.200524514252;0.018;0.045;0.08;591.0;70.0;63.8;random;
11;28014.279028984023;0.083;0.28;0.05;456.0;3.0;59.4;random;
12;27660.65850006108;0.05;0.304;0.085;525.0;140.0;40.2;random;
13;9512.289214188164;0.002;0.002;0.05;523.0;188.0;69.1;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
14;27601.912242516606;0.002;0.002;0.05;536.0;199.0;32.2;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
15;26892.7206575337;0.18;0.234;0.0;308.0;125.0;52.4;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
16;28569.613572960796;0.066;0.321;0.05;165.0;81.0;56.0;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
17;28396.178065675387;0.17;0.191;0.05;393.0;90.0;35.2;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
18;28052.76475531129;0.113;0.239;0.05;358.0;67.0;48.3;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
19;29521.69143956433;0.002;0.002;0.05;76.0;10.0;70.0;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
20;18714.32018729344;0.168;0.019;0.0;523.0;192.0;70.0;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
21;28021.510103445653;0.021;0.166;0.05;507.0;93.0;47.6;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
22;28281.201478598683;0.143;0.218;0.0;492.0;33.0;46.7;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
23;28418.685443603237;0.17;0.191;0.05;393.0;90.0;35.1;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
24;27323.892551106455;0.127;0.183;0.0;308.0;140.0;48.7;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
25;10510.629189018606;0.015;0.126;0.0;525.0;157.0;66.9;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
26;26425.4811953346;0.175;0.19;0.05;255.0;113.0;55.6;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
27;11475.61198808286;0.002;0.002;0.05;600.0;152.0;64.9;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
29;27756.14824593782;0.077;0.334;0.0;133.0;13.0;64.7;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
30;15646.27333969572;0.224;0.024;0.05;388.0;104.0;63.7;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
31;27081.82990812536;0.158;0.113;0.0;278.0;137.0;45.4;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
32;9824.973711737428;0.045;0.058;0.05;480.0;145.0;67.7;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
33;26503.79198427015;0.059;0.055;0.0;445.0;181.0;49.4;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
34;12112.783668231743;0.058;0.008;0.05;493.0;160.0;66.4;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
35;23229.891894689048;0.002;0.002;0.05;600.0;94.0;69.6;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
36;26157.736811432576;0.014;0.118;0.05;157.0;188.0;66.4;{'optimizer_method': 'qMaxValueEntropy', 'qUpperConfidence_beta': None};
38;25873.673151354033;0.4;0.04;0.0;550.0;150.0;55.2;random;
39;26161.308343441313;0.333;0.063;0.0;500.0;180.0;58.7;random;
40;23884.792121708633;0.361;0.042;0.0;450.0;200.0;63.2;random;
41;18624.0353987138;0.017;0.109;0.05;576.0;113.0;61.5;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 4};
42;15674.551521234658;0.127;0.12;0.05;496.0;103.0;65.3;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 4};
43;28546.64878212478;0.002;0.002;0.05;600.0;54.0;62.1;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 4};
44;14359.895282106907;0.048;0.021;0.05;580.0;40.0;65.6;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 4};
45;20111.44757382135;0.002;0.002;0.05;535.0;200.0;62.9;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 4};
46;20421.361634963236;0.038;0.356;0.05;529.0;160.0;67.2;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 4};
47;14696.731039384851;0.002;0.002;0.05;486.0;146.0;65.9;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 4};
48;19038.511860852286;0.011;0.09;0.05;566.0;187.0;65.9;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 4};
49;27579.92161807119;0.002;0.002;0.05;474.0;140.0;65.8;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 4};
50;18270.99301666841;0.128;0.015;0.05;600.0;172.0;66.0;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 4};
51;21730.883749121604;0.08;0.01;0.05;600.0;174.0;65.9;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 4};
52;13429.134015417512;0.002;0.002;0.05;600.0;164.0;69.7;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
53;22891.24635987394;0.002;0.002;0.05;600.0;161.0;70.3;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
